fecha,s1p1,s1p2,s1p3,s1p4,s1p5,s2p6,s2p7,s2p8,s2p9,s3p10,s3p11,s3p12,s3p13,s4p14
08/02/2025 23:29,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,
20/04/2025 11:32,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,Neutral,Neutral,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,"Realmente no sabía que existen los precios dinámicos, solo vendedores compitiendo."
26/01/2025 03:41,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,
08/03/2025 09:21,Neutral,En desacuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,"Opino que las ofertas de temporada baja son buenas, aunque sería mejor si avisaran con tiempo."
27/03/2025 00:59,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
17/05/2025 20:25,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,
19/05/2025 02:02,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,
21/06/2025 18:36,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,
21/05/2025 20:26,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
27/01/2025 11:25,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,"Es útil si no tengo prisa, pero si necesito algo urgente, me sale más caro."
09/01/2025 17:55,Neutral,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,
14/06/2025 04:41,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Neutral,
04/04/2025 18:45,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,Neutral,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,
27/04/2025 12:21,Neutral,Neutral,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Neutral,
22/06/2025 03:25,En desacuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,
24/06/2025 13:59,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,
25/03/2025 13:38,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,
06/06/2025 03:55,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,
24/01/2025 00:04,Totalmente de acuerdo,Neutral,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,
07/02/2025 03:41,Neutral,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,
03/02/2025 10:35,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,
15/02/2025 00:05,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,
04/04/2025 12:37,De acuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,Neutral,Neutral,Neutral,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,"No se que son los precios dinámicos, solo entro a mercado libre y le compro a quien lo venda más barato."
22/03/2025 19:37,Neutral,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,
16/01/2025 01:24,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,En desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,
15/04/2025 20:14,Neutral,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
23/05/2025 13:56,Neutral,Neutral,De acuerdo,En desacuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
21/01/2025 04:45,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,
12/03/2025 22:35,De acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,Neutral,Me molesta que a veces el producto esté sin stock justo cuando baja de precio.
26/06/2025 18:53,De acuerdo,En desacuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,
22/06/2025 05:10,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,
06/06/2025 23:02,En desacuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
09/05/2025 16:30,En desacuerdo,En desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,"No soy obsesivo, pero sí reviso mis Favoritos una vez al día. Más de una vez he pillado que bajan el precio cuando quedan 2-3 unidades, como esos parlantes que bajaron de $350 mil a $250 mil... y al otro día volvieron al precio normal."
04/06/2025 16:48,Neutral,En desacuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,
20/04/2025 01:50,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,
05/06/2025 09:45,Totalmente de acuerdo,Neutral,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
06/05/2025 17:02,Neutral,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Neutral,Neutral,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
13/06/2025 22:15,De acuerdo,Neutral,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,Neutral,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,
29/04/2025 14:45,Neutral,De acuerdo,Neutral,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
29/04/2025 20:31,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,
24/03/2025 19:00,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente de acuerdo,
01/03/2025 08:14,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,De acuerdo,
07/03/2025 15:58,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
22/02/2025 03:40,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,
17/05/2025 08:32,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,
04/05/2025 10:11,Neutral,En desacuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,"Nunca me había fijado, pero ahora veo que los precios suben y bajan como locos. Quería comprar una licuadora que estaba en $220 mil, esperé al fin de semana y ¡sorpresa! Había subido a $280 mil"
03/01/2025 15:36,De acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,
15/02/2025 16:08,Neutral,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,
18/05/2025 21:41,Neutral,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,
16/02/2025 06:10,De acuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,Neutral,Neutral,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,Totalmente de acuerdo,
28/02/2025 22:00,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,Neutral,Neutral,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,
22/04/2025 04:18,Totalmente de acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,
16/02/2025 17:37,Neutral,De acuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,
26/02/2025 01:40,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,
12/03/2025 20:17,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,
24/03/2025 11:05,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,
22/05/2025 17:11,En desacuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,
14/04/2025 18:41,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
17/02/2025 22:50,Neutral,Neutral,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,
30/03/2025 16:19,De acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,
06/03/2025 21:00,En desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,
17/03/2025 06:51,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,
10/04/2025 14:51,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Neutral,
25/05/2025 11:36,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,De acuerdo,Neutral,
16/06/2025 03:47,Totalmente de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,
14/01/2025 22:13,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
19/05/2025 08:43,Totalmente de acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,
22/01/2025 05:09,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Opino que los precios cambian demasiado seguido y a veces genera frustración.
03/03/2025 19:27,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Neutral,Neutral,Totalmente en desacuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,
13/01/2025 21:16,Neutral,En desacuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
19/05/2025 19:17,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Los precios dinámicos te hacen sentir que 'cazaste' una ganga, cuando en realidad el vendedor siempre gana. ajusta márgenes en tiempo real según tu perfil de compra."
01/02/2025 12:26,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Neutral,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
11/02/2025 05:25,De acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,En desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,
16/05/2025 07:54,Neutral,Neutral,En desacuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,Totalmente en desacuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,
24/06/2025 02:28,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,Neutral,Neutral,De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Neutral,
28/04/2025 01:20,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
28/05/2025 19:41,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,Neutral,De acuerdo,
05/02/2025 11:23,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,
20/03/2025 06:11,De acuerdo,En desacuerdo,De acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Neutral,De acuerdo,Neutral,Neutral,"La estrategia de precios dinámicos me parece buena, pero debería ser más transparente."
15/05/2025 21:43,De acuerdo,En desacuerdo,De acuerdo,Neutral,Neutral,De acuerdo,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,"Me parece que la lógica de precios parece algo confusa, no siempre entiendo cuándo es el mejor momento."
05/04/2025 06:47,Totalmente de acuerdo,Neutral,De acuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,"Me gusta que los precios cambian demasiado seguido, y por eso programo mis compras con antelación."
05/05/2025 03:14,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
13/03/2025 22:51,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,En desacuerdo,"Siento que la estrategia tiene sentido si no tienes urgencia, lo cual me parece razonable dadas las condiciones del mercado."""
21/02/2025 12:53,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,Neutral,
06/02/2025 16:26,Totalmente de acuerdo,Neutral,De acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,Neutral,
11/06/2025 00:38,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,Neutral,Totalmente de acuerdo,Neutral,
15/01/2025 00:01,Totalmente de acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,De acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,De acuerdo,
23/06/2025 01:14,En desacuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,Neutral,Neutral,Neutral,Totalmente en desacuerdo,Neutral,Neutral,De acuerdo,Neutral,
31/03/2025 08:37,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Neutral,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,
05/03/2025 09:58,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Neutral,De acuerdo,
09/01/2025 12:53,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,
13/06/2025 01:21,Neutral,En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,Neutral,Totalmente de acuerdo,En desacuerdo,Neutral,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,"Siento que la estrategia tiene sentido si no tienes urgencia, por eso prefiero comprar en meses tranquilos."
08/04/2025 03:54,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,
13/04/2025 16:50,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Neutral,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,En desacuerdo,
01/03/2025 22:21,De acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,Neutral,Totalmente de acuerdo,De acuerdo,
15/04/2025 19:23,Neutral,En desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Neutral,
11/05/2025 11:21,En desacuerdo,De acuerdo,Totalmente en desacuerdo,En desacuerdo,Neutral,En desacuerdo,Neutral,Neutral,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Neutral,"Siempre noto que el precio 'original' aparece unos días antes de la oferta, como si alguien lo hubiera subido solo para fingir un ahorro después."
04/04/2025 04:10,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,En desacuerdo,Neutral,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,
23/06/2025 08:38,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,
01/05/2025 02:44,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,
28/02/2025 22:38,De acuerdo,De acuerdo,Neutral,Totalmente en desacuerdo,Totalmente de acuerdo,Neutral,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,
14/05/2025 23:13,De acuerdo,En desacuerdo,De acuerdo,Neutral,De acuerdo,Neutral,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,"Es evidente que los descuentos no siempre coinciden con mi momento de compra, aunque sería mejor si avisaran con tiempo."
17/01/2025 05:15,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Neutral,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,De acuerdo,"Me incomoda que los precios en temporada alta son muy elevados, y pero ahora busca comprar antes o después de esas temporadas."
